dataset,cum_share_units,cum_share_amount
"business turnover (VAT firms, 2021)",0.00000,0.00000
"business turnover (VAT firms, 2021)",0.50948,0.00198
"business turnover (VAT firms, 2021)",0.62433,0.00548
"business turnover (VAT firms, 2021)",0.72103,0.01165
"business turnover (VAT firms, 2021)",0.83107,0.02733
"business turnover (VAT firms, 2021)",0.89302,0.04685
"business turnover (VAT firms, 2021)",0.93664,0.07410
"business turnover (VAT firms, 2021)",0.96381,0.10792
"business turnover (VAT firms, 2021)",0.98347,0.16199
"business turnover (VAT firms, 2021)",0.99110,0.20923
"business turnover (VAT firms, 2021)",0.99607,0.27716
"business turnover (VAT firms, 2021)",0.99790,0.33392
"business turnover (VAT firms, 2021)",0.99891,0.39620
"business turnover (VAT firms, 2021)",0.99956,0.48507
"business turnover (VAT firms, 2021)",1.00000,1.00000
"personal income / Gesamtbetrag d. Eink. (taxpayers, 2022)",0.00000,0.00000
"personal income / Gesamtbetrag d. Eink. (taxpayers, 2022)",0.08213,0.00096
"personal income / Gesamtbetrag d. Eink. (taxpayers, 2022)",0.13148,0.00870
"personal income / Gesamtbetrag d. Eink. (taxpayers, 2022)",0.27797,0.05502
"personal income / Gesamtbetrag d. Eink. (taxpayers, 2022)",0.43641,0.13664
"personal income / Gesamtbetrag d. Eink. (taxpayers, 2022)",0.58231,0.24064
"personal income / Gesamtbetrag d. Eink. (taxpayers, 2022)",0.69088,0.33969
"personal income / Gesamtbetrag d. Eink. (taxpayers, 2022)",0.91135,0.64848
"personal income / Gesamtbetrag d. Eink. (taxpayers, 2022)",0.98882,0.86860
"personal income / Gesamtbetrag d. Eink. (taxpayers, 2022)",0.99704,0.92427
"personal income / Gesamtbetrag d. Eink. (taxpayers, 2022)",1.00000,1.00000
