year,group,registrations,deregistrations,net,net_pct_of_registrations,n_months
2003,West,650439,525853,124586,19.2,12
2003,East,122893,97616,25277,20.6,12
2003,Berlin,37374,29654,7720,20.7,12
2004,West,763287,546164,217123,28.4,12
2004,East,150088,101078,49010,32.7,12
2004,Berlin,47158,30404,16754,35.5,12
2005,West,718394,567241,151153,21.0,12
2005,East,132735,108179,24556,18.5,12
2005,Berlin,44015,32833,11182,25.4,12
2006,West,710653,572677,137976,19.4,12
2006,East,125376,104731,20645,16.5,12
2006,Berlin,45762,32773,12989,28.4,12
2007,West,691083,571867,119216,17.3,12
2007,East,113188,104481,8707,7.7,12
2007,Berlin,44290,32782,11508,26.0,12
2008,West,679931,593162,86769,12.8,12
2008,East,112207,107139,5068,4.5,12
2008,Berlin,41143,31974,9169,22.3,12
2009,West,707855,591171,116684,16.5,12
2009,East,111609,103299,8310,7.4,12
2009,Berlin,44951,33848,11103,24.7,12
2010,West,708103,583004,125099,17.7,12
2010,East,107583,99182,8401,7.8,12
2010,Berlin,47300,31626,15674,33.1,12
2011,West,672186,585214,86972,12.9,12
2011,East,100305,96125,4180,4.2,12
2011,Berlin,48716,33797,14919,30.6,12
2012,West,619930,580036,39894,6.4,12
2012,East,89369,94296,-4927,-5.5,12
2012,Berlin,48072,36600,11472,23.9,12
2013,West,621215,570535,50680,8.2,12
2013,East,87621,91024,-3403,-3.9,12
2013,Berlin,46212,34776,11436,24.7,12
2014,West,593161,569224,23937,4.0,12
2014,East,84200,89010,-4810,-5.7,12
2014,Berlin,44924,35251,9673,21.5,12
2015,West,582757,552483,30274,5.2,12
2015,East,81995,88471,-6476,-7.9,12
2015,Berlin,42124,34557,7567,18.0,12
2016,West,563805,530318,33487,5.9,12
2016,East,79125,86602,-7477,-9.4,12
2016,Berlin,42443,34819,7624,18.0,12
2017,West,555814,518391,37423,6.7,12
2017,East,76324,83323,-6999,-9.2,12
2017,Berlin,44839,35801,9038,20.2,12
2018,West,549328,514679,34649,6.3,12
2018,East,75473,83324,-7851,-10.4,12
2018,Berlin,43923,38156,5767,13.1,12
2019,West,554719,499233,55486,10.0,12
2019,East,76134,79302,-3168,-4.2,12
2019,Berlin,41756,35713,6043,14.5,12
2020,West,547447,441219,106228,19.4,12
2020,East,72434,70628,1806,2.5,12
2020,Berlin,40982,29891,11091,27.1,12
2021,West,585676,438740,146936,25.1,12
2021,East,76548,69459,7089,9.3,12
2021,Berlin,42725,30594,12131,28.4,12
2022,West,557301,460734,96567,17.3,12
2022,East,75771,70855,4916,6.5,12
2022,Berlin,40391,31541,8850,21.9,12
2023,West,596425,497622,98803,16.6,12
2023,East,77364,72842,4522,5.8,12
2023,Berlin,41206,32232,8974,21.8,12
2024,West,596649,514796,81853,13.7,12
2024,East,77694,73065,4629,6.0,12
2024,Berlin,42071,31206,10865,25.8,12
2025,West,635454,508179,127275,20.0,12
2025,East,83737,74443,9294,11.1,12
2025,Berlin,43200,30284,12916,29.9,12
2026,West,244277,176022,68255,27.9,4
2026,East,31783,25300,6483,20.4,4
2026,Berlin,14959,10783,4176,27.9,4
