land,region,enterprises_per_1000,micro_per_1000,micro_share_pc
Hamburg,West,55.46,47.21,85.1
Berlin,Berlin,51.56,45.15,87.6
Bayern,West,49.14,42.01,85.5
Hessen,West,44.62,38.10,85.4
Baden-Württemberg,West,42.61,35.93,84.3
Schleswig-Holstein,West,41.91,35.57,84.9
Nordrhein-Westfalen,West,41.10,34.65,84.3
Rheinland-Pfalz,West,39.61,33.61,84.9
Brandenburg,East,38.09,33.36,87.6
Sachsen,East,38.26,32.99,86.2
Mecklenburg-Vorpommern,East,37.46,32.30,86.2
Saarland,West,37.14,31.48,84.8
Niedersachsen,West,37.41,31.03,83.0
Bremen,West,37.49,30.57,81.5
Thüringen,East,35.43,30.40,85.8
Sachsen-Anhalt,East,32.13,27.26,84.8
