year,land_code,land,group,micro_0to9,total_enterprises,micro_share_pc
2019,01,Schleswig-Holstein,West,110186,125796,87.6
2019,02,Hamburg,West,92025,104774,87.8
2019,03,Niedersachsen,West,252043,295258,85.4
2019,04,Bremen,West,22771,27173,83.8
2019,05,Nordrhein-Westfalen,West,637787,735924,86.7
2019,06,Hessen,West,247045,281368,87.8
2019,07,Rheinland-Pfalz,West,142773,163469,87.3
2019,08,Baden-Württemberg,West,423389,484758,87.3
2019,09,Bayern,West,554688,630341,88.0
2019,10,Saarland,West,34246,39298,87.1
2019,11,Berlin,Berlin,170613,190201,89.7
2019,12,Brandenburg,East,89067,99892,89.2
2019,13,Mecklenburg-Vorpommern,East,54197,61865,87.6
2019,14,Sachsen,East,145123,164663,88.1
2019,15,Sachsen-Anhalt,East,63785,73598,86.7
2019,16,Thüringen,East,70901,80819,87.7
2020,01,Schleswig-Holstein,West,104209,119553,87.2
2020,02,Hamburg,West,85997,98521,87.3
2020,03,Niedersachsen,West,238707,281428,84.8
2020,04,Bremen,West,22116,26348,83.9
2020,05,Nordrhein-Westfalen,West,604940,701797,86.2
2020,06,Hessen,West,231717,265671,87.2
2020,07,Rheinland-Pfalz,West,134047,154330,86.9
2020,08,Baden-Württemberg,West,397224,457748,86.8
2020,09,Bayern,West,524033,599076,87.5
2020,10,Saarland,West,32117,37022,86.8
2020,11,Berlin,Berlin,158067,177394,89.1
2020,12,Brandenburg,East,84603,95312,88.8
2020,13,Mecklenburg-Vorpommern,East,51397,58901,87.3
2020,14,Sachsen,East,136239,155569,87.6
2020,15,Sachsen-Anhalt,East,59852,69602,86.0
2020,16,Thüringen,East,66606,76311,87.3
2021,01,Schleswig-Holstein,West,104947,120564,87.0
2021,02,Hamburg,West,86034,98691,87.2
2021,03,Niedersachsen,West,240500,283439,84.9
2021,04,Bremen,West,21896,26080,84.0
2021,05,Nordrhein-Westfalen,West,607950,704843,86.3
2021,06,Hessen,West,232795,266652,87.3
2021,07,Rheinland-Pfalz,West,135215,155499,87.0
2021,08,Baden-Württemberg,West,396722,457266,86.8
2021,09,Bayern,West,533747,609278,87.6
2021,10,Saarland,West,32075,36972,86.8
2021,11,Berlin,Berlin,159734,179367,89.1
2021,12,Brandenburg,East,84390,95230,88.6
2021,13,Mecklenburg-Vorpommern,East,51021,58560,87.1
2021,14,Sachsen,East,134656,153988,87.4
2021,15,Sachsen-Anhalt,East,59237,68895,86.0
2021,16,Thüringen,East,65730,75380,87.2
2022,01,Schleswig-Holstein,West,105568,121542,86.9
2022,02,Hamburg,West,86483,99541,86.9
2022,03,Niedersachsen,West,244573,288303,84.8
2022,04,Bremen,West,21847,26078,83.8
2022,05,Nordrhein-Westfalen,West,615928,715024,86.1
2022,06,Hessen,West,236790,271325,87.3
2022,07,Rheinland-Pfalz,West,137312,157984,86.9
2022,08,Baden-Württemberg,West,398864,460491,86.6
2022,09,Bayern,West,542842,619641,87.6
2022,10,Saarland,West,32455,37409,86.8
2022,11,Berlin,Berlin,163261,184021,88.7
2022,12,Brandenburg,East,84912,95925,88.5
2022,13,Mecklenburg-Vorpommern,East,51189,58814,87.0
2022,14,Sachsen,East,135674,155211,87.4
2022,15,Sachsen-Anhalt,East,59368,69112,85.9
2022,16,Thüringen,East,65331,75057,87.0
2023,01,Schleswig-Holstein,West,106224,122286,86.9
2023,02,Hamburg,West,88310,101624,86.9
2023,03,Niedersachsen,West,247588,291478,84.9
2023,04,Bremen,West,21783,26023,83.7
2023,05,Nordrhein-Westfalen,West,623998,723538,86.2
2023,06,Hessen,West,238172,273008,87.2
2023,07,Rheinland-Pfalz,West,138528,159251,87.0
2023,08,Baden-Württemberg,West,403720,465415,86.7
2023,09,Bayern,West,552487,629757,87.7
2023,10,Saarland,West,32417,37356,86.8
2023,11,Berlin,Berlin,165097,186390,88.6
2023,12,Brandenburg,East,85529,96579,88.6
2023,13,Mecklenburg-Vorpommern,East,51225,58744,87.2
2023,14,Sachsen,East,135397,154877,87.4
2023,15,Sachsen-Anhalt,East,59020,68713,85.9
2023,16,Thüringen,East,65160,74879,87.0
2024,01,Schleswig-Holstein,West,105047,123782,84.9
2024,02,Hamburg,West,87418,102696,85.1
2024,03,Niedersachsen,West,248527,299558,83.0
2024,04,Bremen,West,21480,26345,81.5
2024,05,Nordrhein-Westfalen,West,624315,740506,84.3
2024,06,Hessen,West,238790,279656,85.4
2024,07,Rheinland-Pfalz,West,138646,163400,84.9
2024,08,Baden-Württemberg,West,403474,478571,84.3
2024,09,Bayern,West,553554,647475,85.5
2024,10,Saarland,West,31926,37657,84.8
2024,11,Berlin,Berlin,165352,188834,87.6
2024,12,Brandenburg,East,85211,97304,87.6
2024,13,Mecklenburg-Vorpommern,East,50969,59116,86.2
2024,14,Sachsen,East,133756,155124,86.2
2024,15,Sachsen-Anhalt,East,58457,68904,84.8
2024,16,Thüringen,East,64292,74937,85.8
