band,businesses,pct_businesses,cum_pct_businesses,turnover_eur_bn,pct_turnover,cum_pct_turnover
< 22k,3676089,50.95,50.95,16.08,0.20,0.20
22k–50k,828751,11.49,62.43,28.42,0.35,0.55
50k–100k,697700,9.67,72.10,50.06,0.62,1.16
100k–250k,794027,11.00,83.11,127.36,1.57,2.73
250k–500k,446961,6.19,89.30,158.48,1.95,4.69
500k–1M,314716,4.36,93.66,221.22,2.72,7.41
1M–2M,196099,2.72,96.38,274.56,3.38,10.79
2M–5M,141848,1.97,98.35,439.00,5.41,16.20
5M–10M,55008,0.76,99.11,383.57,4.72,20.92
10M–25M,35904,0.50,99.61,551.51,6.79,27.72
25M–50M,13210,0.18,99.79,460.86,5.68,33.39
50M–100M,7256,0.10,99.89,505.65,6.23,39.62
100M–250M,4686,0.06,99.96,721.46,8.89,48.51
250M+,3190,0.04,100.00,4180.70,51.49,100.00
